Time,X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0.719,1986.23563559109,-4836.16028621955,-1986.23563559109,-1543.96389665637,-5148.94090106938,1543.96389665638
0.722,1995.43534576817,-4855.62996769241,-1995.43534576817,-1549.45821076745,-5171.03019214137,1549.45821076746
0.726,2007.71283787892,-4881.57894105176,-2007.71283787892,-1556.7712384291,-5200.48890386286,1556.77123842911
0.729,2016.92936259533,-4901.03271270052,-2016.92936259533,-1562.24646386097,-5222.58767252005,1562.24646386099
0.732,2026.15308933286,-4920.47965696159,-2026.15308933285,-1567.71350592649,-5244.69049290136,1567.71350592651
0.736,2038.46259042225,-4946.3982863795,-2038.46259042225,-1574.99016307554,-5274.16721228337,1574.99016307555
0.739,2047.70311203769,-4965.82927933595,-2047.70311203769,-1580.43810479376,-5296.27946311723,1580.43810479377
0.742,2056.95082723695,-4985.25342713774,-2056.95082723695,-1585.87785815748,-5318.39574546935,1585.87785815749
0.746,2069.292299806,-5011.14163364996,-2069.292299806,-1593.1181226244,-5347.89038270802,1593.11812262441
0.749,2078.55679017064,-5030.5497887152,-2078.55679017063,-1598.53876403091,-5370.01604835131,1598.53876403093
0.753,2090.92062041136,-5056.4166522593,-2090.92062041135,-1605.75354048884,-5399.5231746271,1605.75354048885
0.756,2100.20187211217,-5075.80878561461,-2100.20187211217,-1611.15506184587,-5421.65819053159,1611.15506184588
0.759,2109.49030300311,-5095.19404365933,-2109.4903030031,-1616.54838642582,-5443.79720357618,1616.54838642583
0.763,2121.88604075167,-5121.03035027131,-2121.88604075166,-1623.72673276791,-5473.32209491695,1623.72673276793
0.766,2131.19121317937,-5140.3995452571,-2131.19121317937,-1629.10092578748,-5495.47041101284,1629.10092578748
0.769,2140.50355630084,-5159.76184722175,-2140.50355630084,-1634.46691710921,-5517.62270400995,1634.46691710921
0.773,2152.93116379548,-5185.5675181881,-2152.93116379547,-1641.60881146543,-5547.16527046507,1641.60881146545
0.776,2162.2602286033,-5204.9137157937,-2162.2602286033,-1646.95565977415,-5569.32681927525,1646.95565977417
0.779,2171.59645558665,-5224.25300268867,-2171.59645558665,-1652.29430148928,-5591.49232473565,1652.29430148929
0.783,2184.05589496853,-5250.02795938929,-2184.05589496853,-1659.39972210068,-5621.05247630066,1659.3997221007
0.786,2193.40882373688,-5269.35110067415,-2193.40882373688,-1664.7192094085,-5643.22719030771,1664.71920940851
0.789,2202.76890614069,-5288.6673135799,-2202.76890614069,-1670.03048525195,-5665.4058407019,1670.03048525196
0.793,2215.26013945404,-5314.41147748819,-2215.26013945403,-1677.09941047069,-5694.98348731876,1677.09941047069
0.796,2224.63690369062,-5333.711503582,-2224.63690369061,-1682.39152057088,-5717.17129896512,1682.39152057089
0.799,2234.02081300082,-5353.00458364932,-2234.02081300081,-1687.67541436095,-5739.36302672358,1687.67541436097
0.803,2246.54380219293,-5378.71787633253,-2246.54380219293,-1694.70782265034,-5768.95807828097,1694.70782265035
0.806,2255.94437333284,-5397.99472843538,-2255.94437333283,-1699.97253941961,-5791.1589199692,1699.97253941963
0.809,2265.35208096274,-5417.26461688551,-2265.35208096274,-1705.22903505804,-5813.36365748255,1705.22903505805
0.813,2277.90678788424,-5442.9469600049,-2277.90678788423,-1712.22490499265,-5842.97602381609,1712.22490499267
0.816,2287.33113729004,-5462.20057938748,-2287.33113729004,-1717.46221239115,-5865.18982790905,1717.46221239117
0.819,2296.76261458049,-5481.44721751234,-2296.76261458048,-1722.69129386312,-5887.40750752827,1722.69129386314
0.823,2309.34900098532,-5507.09853282352,-2309.34900098531,-1729.65060412886,-5917.03709842086,1729.65060412886
0.826,2318.79709994716,-5526.3288608273,-2318.79709994715,-1734.86048620021,-5939.26379724194,1734.86048620023
0.829,2328.25231816654,-5545.55218998962,-2328.25231816654,-1740.06213757445,-5961.49435127863,1740.06213757446
0.833,2340.87034571218,-5571.17239934266,-2340.87034571217,-1746.98486696854,-5991.14107646068,1746.98486696855
0.836,2350.34216544782,-5590.37937738008,-2350.34216544782,-1752.16730783997,-6013.38060229395,1752.16730783999
0.839,2359.82109579225,-5609.57933901361,-2359.82109579225,-1757.34151326873,-6035.62396302042,1757.34151326874
0.843,2372.47072603973,-5635.16836435338,-2372.47072603973,-1764.22764069992,-6065.28773217017,1764.22764069994
0.846,2381.96623769469,-5654.35193390797,-2381.96623769468,-1769.38262458221,-6087.54001726065,1769.38262458222
0.849,2391.46885128801,-5673.52846951768,-2391.46885128801,-1774.52936830138,-6109.79611691023,1774.52936830139
